app_version,commit_hash,os,arch,scenario,run,bytes,time_to_ticket_ms,connect_ms,download_ms,export_ms,total_ms,effective_mbps,route_kind,success,error
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_many_small,1,20971520,295,3,334,330,665,252.1809,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_many_small,2,20971520,307,3,324,341,665,252.0189,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_many_small,3,20971520,295,3,321,331,652,257.0470,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_many_small,4,20971520,306,3,335,346,681,246.2351,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_many_small,5,20971520,317,3,346,345,691,242.6562,direct,true,
