app_version,commit_hash,os,arch,mode,scenario,run,bytes,time_to_ticket_ms,connect_ms,download_ms,export_ms,total_ms,effective_mbps,route_kind,bottleneck_estimate,success,error,hardware_notes
0.5.0,88295e0208cf,windows,x86_64,extreme,same_machine_100mb,1,104857600,299,3,1193,7,1200,698.5235,direct,download,true,,"AMD Zen 5 (Family 25 Model 97 ~4.5GHz), Windows 11 Build 26200, NVMe boot"
0.5.0,88295e0208cf,windows,x86_64,extreme,same_machine_100mb,2,104857600,298,172,1287,8,1295,647.2916,direct,download,true,,"AMD Zen 5 (Family 25 Model 97 ~4.5GHz), Windows 11 Build 26200, NVMe boot"
0.5.0,88295e0208cf,windows,x86_64,extreme,same_machine_100mb,3,104857600,300,174,1366,8,1374,610.3014,direct,download,true,,"AMD Zen 5 (Family 25 Model 97 ~4.5GHz), Windows 11 Build 26200, NVMe boot"
0.5.0,88295e0208cf,windows,x86_64,extreme,same_machine_100mb,4,104857600,310,188,1445,8,1454,576.7698,direct,download,true,,"AMD Zen 5 (Family 25 Model 97 ~4.5GHz), Windows 11 Build 26200, NVMe boot"
0.5.0,88295e0208cf,windows,x86_64,extreme,same_machine_100mb,5,104857600,310,2,1277,7,1285,652.5828,direct,download,true,,"AMD Zen 5 (Family 25 Model 97 ~4.5GHz), Windows 11 Build 26200, NVMe boot"
